bin,bin_order,bin_label_en,bin_label_es,side,horizon,spec,spec_label_en,spec_label_es,nobs,n_mun,mrate,estimate,se,p,pct,ci_low,ci_high,stars
10_15,2,10–15 °C,10–15 °C,cold,27,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0870097,0.0153641,1.49e-8,-8.70097,-11.7123,-5.68961,***
10_15,2,10–15 °C,10–15 °C,cold,28,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.12228,0.0114166,9.06e-27,-12.228,-14.4657,-9.99038,***
10_15,2,10–15 °C,10–15 °C,cold,28,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0892887,0.0167359,9.55e-8,-8.92887,-12.2091,-5.64864,***
10_15,2,10–15 °C,10–15 °C,cold,29,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.125461,0.0111144,1.5e-29,-12.5461,-14.7245,-10.3677,***
10_15,2,10–15 °C,10–15 °C,cold,29,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.09426,0.0156046,1.54e-9,-9.426,-12.4845,-6.36749,***
10_15,2,10–15 °C,10–15 °C,cold,30,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.121745,0.011695,2.23e-25,-12.1745,-14.4667,-9.88228,***
10_15,2,10–15 °C,10–15 °C,cold,30,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0912705,0.0162619,1.99e-8,-9.12705,-12.3144,-5.93971,***
15_20,3,15–20 °C,15–20 °C,cold,0,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0277672,0.00176613,1.0699999999999997e-55,-2.77672,-3.12288,-2.43056,***
15_20,3,15–20 °C,15–20 °C,cold,0,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0213541,0.00269199,2.15e-15,-2.13541,-2.66304,-1.60778,***
15_20,3,15–20 °C,15–20 °C,cold,1,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0343912,0.0019962,1.6299999999999996e-66,-3.43912,-3.83037,-3.04786,***
15_20,3,15–20 °C,15–20 °C,cold,1,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0255656,0.00286795,4.91e-19,-2.55656,-3.11868,-1.99444,***
15_20,3,15–20 °C,15–20 °C,cold,2,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.0351524,0.00232384,1.08e-51,-3.51524,-3.97071,-3.05977,***
15_20,3,15–20 °C,15–20 °C,cold,2,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0227932,0.0033732,1.41e-11,-2.27932,-2.94047,-1.61818,***
15_20,3,15–20 °C,15–20 °C,cold,3,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.037162100000000003,0.00268727,1.6999999999999998e-43,-3.71621,-4.24292,-3.18951,***
15_20,3,15–20 °C,15–20 °C,cold,3,hosp,Hospitalization or death,Hospitalización o muerte,2543592,661,6.83746,-0.0253459,0.00415203,1.03e-9,-2.53459,-3.34839,-1.72079,***
15_20,3,15–20 °C,15–20 °C,cold,4,home,"Discharged, not hospitalized",Alta sin hospitalización,2631155,661,45.2238,-0.039241,0.00327496,4.41e-33,-3.9241,-4.56599,-3.2822,***
